Processor,Transistor count,Date of introduction,Designer(s),Manufacturer(s),Process,Area,Ref
µPD7220 GDC,40000,1982-01-01,NEC,NEC,5000.0,,[97]
ARTC HD63484,60000,1984-01-01,Hitachi,Hitachi,,,[98]
YM7101 VDP,100000,1988-01-01,Sega,Yamaha,,,[99]
Tom & Jerry,750000,1993-01-01,Flare,IBM,,,[99]
VDP1,1000000,1994-01-01,Sega,Hitachi,500.0,,[100][101]
Sony GPU,1000000,1994-01-01,Toshiba,LSI,500.0,,[102][103][104]
NV1,1000000,1995-01-01,"Nvidia, Sega",SGS,500.0,90.0,[100]
Reality Coprocessor,2600000,1996-01-01,SGI,NEC,350.0,81.0,[105]
PowerVR,1200000,1996-01-01,VideoLogic,NEC,350.0,,[106]
Voodoo Graphics,1000000,1996-01-01,3dfx,TSMC,500.0,,[107][108]
Voodoo Rush,1000000,1997-01-01,3dfx,TSMC,500.0,,[107][108]
NV3,3500000,1997-01-01,Nvidia,"SGS, TSMC",350.0,90.0,[109][110]
PowerVR2 CLX2,10000000,1998-01-01,VideoLogic,NEC,250.0,116.0,[35][111][112][37]
i740,3500000,1998-01-01,"Intel, Real3D",Real3D,350.0,,[107][108]
Voodoo 2,4000000,1998-01-01,3dfx,TSMC,350.0,,[107][108]
Voodoo Rush,4000000,1998-01-01,3dfx,TSMC,350.0,,[107][108]
Riva TNT,7000000,1998-01-01,Nvidia,TSMC,350.0,,[107][110]
PowerVR2 PMX1,6000000,1999-01-01,VideoLogic,NEC,250.0,,[113]
Rage 128,8000000,1999-01-01,ATI,"TSMC, UMC",250.0,70.0,[108]
Voodoo 3,8100000,1999-01-01,3dfx,TSMC,250.0,,[114]
Graphics Synthesizer,43000000,1999-01-01,"Sony, Toshiba","Sony, Toshiba",180.0,279.0,[41][39][38][40]
NV5,15000000,1999-01-01,Nvidia,TSMC,250.0,,[108]
NV10,17000000,1999-01-01,Nvidia,TSMC,220.0,111.0,[115][110]
Voodoo 4,14000000,2000-01-01,3dfx,TSMC,220.0,,[107][108]
NV11,20000000,2000-01-01,Nvidia,TSMC,180.0,65.0,[108]
NV15,25000000,2000-01-01,Nvidia,TSMC,180.0,81.0,[108]
Voodoo 5,28000000,2000-01-01,3dfx,TSMC,220.0,,[107][108]
