Processor,MOS transistor count,Date of introduction,Designer(s),Manufacturer(s),MOS process,Area,Ref
µPD7220 GDC,40000,1982-01-01,NEC,NEC,5000.0,,[151]
ARTC HD63484,60000,1984-01-01,Hitachi,Hitachi,,,[152]
CBM Agnus,21000,1985-01-01,Commodore,CSG,5000.0,,[153][154]
YM7101 VDP,100000,1988-01-01,"Yamaha, Sega",Yamaha,,,[155]
Tom & Jerry,750000,1993-01-01,Flare,IBM,,,[155]
VDP1,1000000,1994-01-01,Sega,Hitachi,500.0,,[156][157]
Sony GPU,1000000,1994-01-01,Toshiba,LSI,500.0,,[158][159][160]
NV1,1000000,1995-01-01,"Nvidia, Sega",SGS,500.0,90.0,[156]
Reality Coprocessor,2600000,1996-01-01,SGI,NEC,350.0,81.0,[161]
PowerVR,1200000,1996-01-01,VideoLogic,NEC,350.0,,[162]
Voodoo Graphics,1000000,1996-01-01,3dfx,TSMC,500.0,,[163][164]
Voodoo Rush,1000000,1997-01-01,3dfx,TSMC,500.0,,[163][164]
NV3,3500000,1997-01-01,Nvidia,"SGS, TSMC",350.0,90.0,[165][166]
PowerVR2 CLX2,10000000,1998-01-01,VideoLogic,NEC,250.0,116.0,[62][167][168][64]
i740,3500000,1998-01-01,"Intel, Real3D",Real3D,350.0,,[163][164]
Voodoo 2,4000000,1998-01-01,3dfx,TSMC,350.0,,[163][164]
Voodoo Rush,4000000,1998-01-01,3dfx,TSMC,350.0,,[163][164]
Riva TNT,7000000,1998-01-01,Nvidia,TSMC,350.0,,[163][166]
PowerVR2 PMX1,6000000,1999-01-01,VideoLogic,NEC,250.0,,[169]
Rage 128,8000000,1999-01-01,ATI,"TSMC, UMC",250.0,70.0,[164]
Voodoo 3,8100000,1999-01-01,3dfx,TSMC,250.0,,[170]
Graphics Synthesizer,43000000,1999-01-01,"Sony, Toshiba","Sony, Toshiba",180.0,279.0,[69][67][66][68]
NV5,15000000,1999-01-01,Nvidia,TSMC,250.0,,[164]
NV10,17000000,1999-01-01,Nvidia,TSMC,220.0,111.0,[171][166]
Voodoo 4,14000000,2000-01-01,3dfx,TSMC,220.0,,[163][164]
NV11,20000000,2000-01-01,Nvidia,TSMC,180.0,65.0,[164]
NV15,25000000,2000-01-01,Nvidia,TSMC,180.0,81.0,[164]
Voodoo 5,28000000,2000-01-01,3dfx,TSMC,220.0,,[163][164]
R100,30000000,2000-01-01,ATI,TSMC,180.0,97.0,[164]
Flipper,51000000,2000-01-01,ArtX,NEC,180.0,106.0,[69][172]
PowerVR3 KYRO,14000000,2001-01-01,Imagination,ST,250.0,,[163][164]
PowerVR3 KYRO II,15000000,2001-01-01,Imagination,ST,180.0,,[163][164]
NV2A,60000000,2001-01-01,Nvidia,TSMC,150.0,,[163][173]
NV20,57000000,2001-01-01,Nvidia,TSMC,150.0,128.0,[164]
